date,price
2022-03-15 02:00:00,39314.86
2022-03-16 02:00:00,41133.64
2022-03-17 02:00:00,40956.79
2022-03-18 02:00:00,41790.97
2022-03-19 02:00:00,42235.02
2022-03-20 02:00:00,41243.16
2022-03-21 02:00:00,41043.9
2022-03-22 02:00:00,42380.11
2022-03-23 02:00:00,42904.1
2022-03-24 02:00:00,44006.77
2022-03-25 02:00:00,44331.36
2022-03-26 02:00:00,44542.31
2022-03-27 02:00:00,46842.14
2022-03-28 03:00:00,47128.71
2022-03-29 03:00:00,47445.3
2022-03-30 03:00:00,47056.41
2022-03-31 03:00:00,45522.65
2022-04-01 03:00:00,46299.75
2022-04-02 03:00:00,45822.28
2022-04-03 03:00:00,46414.26
2022-04-04 03:00:00,46609.36
2022-04-05 03:00:00,45501.58
2022-04-06 03:00:00,43177.78
2022-04-07 03:00:00,43466.21
2022-04-08 03:00:00,42273.38
2022-04-09 03:00:00,42768.61
2022-04-10 03:00:00,42153.77
2022-04-11 03:00:00,39536.71
2022-04-12 03:00:00,40086.66
2022-04-13 03:00:00,41150.33
2022-04-14 03:00:00,39951.63
2022-04-15 03:00:00,40563.69
2022-04-16 03:00:00,40392.55
2022-04-17 03:00:00,39688.16
2022-04-18 03:00:00,40811.03
2022-04-19 03:00:00,41504.44
2022-04-20 03:00:00,41375.35
2022-04-21 03:00:00,40490.97
2022-04-22 03:00:00,39716.04
2022-04-23 03:00:00,39445.97
2022-04-24 03:00:00,39466.26
2022-04-25 03:00:00,40437.52
2022-04-26 03:00:00,38117.39
2022-04-27 03:00:00,39252.04
2022-04-28 03:00:00,39749.75
2022-04-29 03:00:00,38594.22
2022-04-30 03:00:00,37650.13
2022-05-01 03:00:00,38480.53
2022-05-02 03:00:00,38513.01
2022-05-03 03:00:00,37725.38
2022-05-04 03:00:00,39680.21
2022-05-05 03:00:00,36546.86
2022-05-06 03:00:00,36009.89
2022-05-07 03:00:00,35469.21
2022-05-08 03:00:00,34033.77
2022-05-09 03:00:00,30076.9
2022-05-10 03:00:00,31013.12
2022-05-11 03:00:00,29017.21
2022-05-12 03:00:00,28915.72
2022-05-13 03:00:00,29244.83
2022-05-14 03:00:00,30050.31
2022-05-15 03:00:00,31296.11
2022-05-16 03:00:00,29838.5
2022-05-17 03:00:00,30415.91
2022-05-18 03:00:00,28667.29
2022-05-19 03:00:00,30282.48
2022-05-20 03:00:00,29166.15
2022-05-21 03:00:00,29410.72
2022-05-22 03:00:00,30264.29
2022-05-23 03:00:00,29075.68
2022-05-24 03:00:00,29630.05
2022-05-25 03:00:00,29508.27
2022-05-26 03:00:00,29188.71
2022-05-27 03:00:00,28597.33
2022-05-28 03:00:00,29013.53
2022-05-29 03:00:00,29452.23
2022-05-30 03:00:00,31716.41
