model_id,model_type,scaling,features,n_features,silhouette_score,log_likelihood,external_factor
NonHomoHMM_pct_RSI_none_Returns+fg+pct_fg_48,NonHomoHMM,none,Returns+fg+pct_fg,3,-0.02055690497825278,-9520126.159871176,pct_RSI
NonHomoHMM_fg_none_Returns+pct_fg+pct_RSI_20,NonHomoHMM,none,Returns+pct_fg+pct_RSI,3,-0.08494884182248745,-5476.897787588527,fg
SkewTHMM_none_Returns+fg+pct_RSI_11,SkewTHMM,none,Returns+fg+pct_RSI,3,-0.08941649081523234,-9318.687640211432,
NonHomoHMM_pct_fg_robust_Returns_35,NonHomoHMM,robust,Returns,1,-0.12626911874700075,-3026.647368374448,pct_fg
SkewTHMM_none_fg+pct_RSI_8,SkewTHMM,none,fg+pct_RSI,2,-0.13372008425722812,-6281.945618454109,
SkewTHMM_none_Returns+fg+pct_fg+pct_RSI_14,SkewTHMM,none,Returns+fg+pct_fg+pct_RSI,4,-0.15489396603996836,-19390.51558788927,
SkewTHMM_robust_Returns_15,SkewTHMM,robust,Returns,1,-0.1865725348398518,-3814.6827570744235,
SkewTHMM_none_Returns_0,SkewTHMM,none,Returns,1,-0.18657253483985203,-3814.6827570744235,
SkewTHMM_none_fg+pct_fg+pct_RSI_13,SkewTHMM,none,fg+pct_fg+pct_RSI,3,-0.20804019013091515,-13026.911091142005,
SkewTHMM_none_fg+pct_fg_7,SkewTHMM,none,fg+pct_fg,2,-0.227501460138473,-7806.374405195069,
NonHomoHMM_pct_fg_robust_pct_RSI_37,NonHomoHMM,robust,pct_RSI,1,-0.26217181839796677,-2886.259149815834,pct_fg
NonHomoHMM_fg_robust_Returns_21,NonHomoHMM,robust,Returns,1,-0.2881504933731851,-3025.0560398426965,fg
NonHomoHMM_fg_robust_pct_RSI_23,NonHomoHMM,robust,pct_RSI,1,-0.3016601386154526,-2866.7883899438375,fg
SkewTHMM_robust_pct_RSI_18,SkewTHMM,robust,pct_RSI,1,-0.31034924894687765,-3290.646244780151,
SkewTHMM_none_pct_RSI_3,SkewTHMM,none,pct_RSI,1,-0.31034924894687765,-3290.646244780151,
NonHomoHMM_pct_fg_none_Returns+pct_RSI_32,NonHomoHMM,none,Returns+pct_RSI,2,-0.43645399281369346,700.0892576767953,pct_fg
NonHomoHMM_fg_none_Returns+pct_RSI_18,NonHomoHMM,none,Returns+pct_RSI,2,-0.4481163512288859,1674.0218275704626,fg
NonHomoHMM_pct_RSI_robust_pct_fg_51,NonHomoHMM,robust,pct_fg,1,-0.45327467693554024,-3101.0571869424402,pct_RSI
NonHomoHMM_fg_robust_pct_fg_22,NonHomoHMM,robust,pct_fg,1,-0.4533113281688078,-3054.886004684406,fg
NonHomoHMM_Returns_robust_pct_fg_8,NonHomoHMM,robust,pct_fg,1,-0.45430256557352144,-3104.4558846358677,Returns
NonHomoHMM_fg_none_pct_fg_15,NonHomoHMM,none,pct_fg,1,-0.4673301490617363,-890.5625093640982,fg
NonHomoHMM_pct_RSI_none_pct_fg_44,NonHomoHMM,none,pct_fg,1,-0.4673301490617363,-951.9618300400648,pct_RSI
NonHomoHMM_Returns_none_pct_fg_1,NonHomoHMM,none,pct_fg,1,-0.4673301490617363,-881.7738271471391,Returns
NonHomoHMM_pct_RSI_robust_Returns_49,NonHomoHMM,robust,Returns,1,-0.5651297249471531,-3017.971914112919,pct_RSI
NonHomoHMM_Returns_robust_pct_RSI_9,NonHomoHMM,robust,pct_RSI,1,-0.772701163080146,-2860.8992797495607,Returns
NonHomoHMM_fg_none_Returns_14,NonHomoHMM,none,Returns,1,-0.9998705249695924,-2810.221231162535,fg
NonHomoHMM_pct_RSI_none_Returns_42,NonHomoHMM,none,Returns,1,-0.9999719310905223,-995.7750428239834,pct_RSI
