model_id,model_type,scaling,features,n_features,silhouette_score,log_likelihood,window_size,step_size,n_mixtures,n_factors
HierarchicalHMM_2factors_none_Range+fg+RSI_62,HierarchicalHMM,none,Range+fg+RSI,3,0.3461850524191915,-4135.000102552736,,,,2.0
HierarchicalHMM_3factors_robust_Returns+pct_Range+pct_fg+pct_RSI_455,HierarchicalHMM,robust,Returns+pct_Range+pct_fg+pct_RSI,4,0.34599098661560135,-6753.159901727142,,,,3.0
HierarchicalHMM_2factors_none_Returns+Range+fg+RSI_107,HierarchicalHMM,none,Returns+Range+fg+RSI,4,0.34138448295919926,-4219.548920966623,,,,2.0
HierarchicalHMM_3factors_none_Returns+Range+pct_Range+fg+pct_RSI_206,HierarchicalHMM,none,Returns+Range+pct_Range+fg+pct_RSI,5,0.34036945730745616,-6931.694246275485,,,,3.0
GMMHMM_none_Range+RSI_16,GMMHMM,none,Range+RSI,2,0.34010648217070494,-3800.958471490239,,,3.0,
HierarchicalHMM_3factors_none_Range+pct_Range+fg+pct_fg_153,HierarchicalHMM,none,Range+pct_Range+fg+pct_fg,4,0.340073817292667,-6365.904155222533,,,,3.0
StandardHMM_none_Range+pct_Range+fg+pct_fg_83,StandardHMM,none,Range+pct_Range+fg+pct_fg,4,0.3390257632460599,-5113.750699907468,,,,
StandardHMM_none_Returns+fg+pct_RSI_39,StandardHMM,none,Returns+fg+pct_RSI,3,0.3378440992849442,70.44512164375462,,,,
GMMHMM_none_pct_Range+fg_18,GMMHMM,none,pct_Range+fg,2,0.336884992969676,-3678.3539929559506,,,3.0,
HierarchicalHMM_3factors_none_Range+pct_Range+fg+pct_fg+pct_RSI_262,HierarchicalHMM,none,Range+pct_Range+fg+pct_fg+pct_RSI,5,0.3367909054450811,-6402.192781206057,,,,3.0
StandardHMM_none_Range+RSI+pct_RSI_52,StandardHMM,none,Range+RSI+pct_RSI,3,0.3360467117724171,-752.0118457997834,,,,
GMMHMM_none_Range+pct_Range+fg+pct_fg_83,GMMHMM,none,Range+pct_Range+fg+pct_fg,4,0.3349557064768554,-9027.903008892195,,,3.0,
StandardHMM_none_Range+fg+pct_fg_47,StandardHMM,none,Range+fg+pct_fg,3,0.3344637843829257,-2665.144714232978,,,,
HierarchicalHMM_2factors_none_Returns+pct_Range+fg+RSI_125,HierarchicalHMM,none,Returns+pct_Range+fg+RSI,4,0.3339170335665107,-4236.286208900254,,,,2.0
GMMHMM_robust_pct_Range_129,GMMHMM,robust,pct_Range,1,0.3334884185874929,-2235.503838779996,,,3.0,
GMMHMM_none_pct_Range_2,GMMHMM,none,pct_Range,1,0.3334884185874929,-2235.503838779996,,,3.0,
StandardHMM_none_pct_Range_2,StandardHMM,none,pct_Range,1,0.3334884185874929,-2190.773746110677,,,,
StandardHMM_robust_pct_Range_129,StandardHMM,robust,pct_Range,1,0.3334884185874929,-2235.503838779996,,,,
HierarchicalHMM_3factors_robust_Range+pct_Range+pct_fg+pct_RSI_485,HierarchicalHMM,robust,Range+pct_Range+pct_fg+pct_RSI,4,0.3331588858733714,-6801.90727776637,,,,3.0
HierarchicalHMM_2factors_robust_Range+fg+RSI_382,HierarchicalHMM,robust,Range+fg+RSI,3,0.3320648158858132,-4135.000102552736,,,,2.0
StandardHMM_none_Range+pct_Range+RSI+pct_RSI_88,StandardHMM,none,Range+pct_Range+RSI+pct_RSI,4,0.3316032025600454,-3146.1554482079773,,,,
GMMHMM_none_Range+pct_Range+pct_RSI_46,GMMHMM,none,Range+pct_Range+pct_RSI,3,0.3313466362502139,-6919.502258491682,,,3.0,
GMMHMM_none_Range+RSI+pct_RSI_52,GMMHMM,none,Range+RSI+pct_RSI,3,0.33076428113553474,-6463.372011351986,,,3.0,
HierarchicalHMM_4factors_none_Range+pct_Range+fg+pct_fg+RSI_259,HierarchicalHMM,none,Range+pct_Range+fg+pct_fg+RSI,5,0.3306312421528478,-8798.507933964942,,,,4.0
GMMHMM_none_Returns+Range+pct_Range_28,GMMHMM,none,Returns+Range+pct_Range,3,0.33040636706692167,-7186.6838840457285,,,3.0,
StandardHMM_none_Range+fg+RSI_48,StandardHMM,none,Range+fg+RSI,3,0.3303616705045643,-11177.241606856684,,,,
StandardHMM_robust_Returns+Range+pct_Range+pct_RSI_193,StandardHMM,robust,Returns+Range+pct_Range+pct_RSI,4,0.3295913530781563,-7656.241165119151,,,,
GMMHMM_robust_Returns+Range+pct_Range+pct_RSI_193,GMMHMM,robust,Returns+Range+pct_Range+pct_RSI,4,0.3295913530781563,-7656.241165118947,,,3.0,
HierarchicalHMM_1factors_robust_Range+pct_Range+pct_RSI_377,HierarchicalHMM,robust,Range+pct_Range+pct_RSI,3,0.32955993732697836,-2122.629709027079,,,,1.0
GMMHMM_robust_pct_Range+RSI_147,GMMHMM,robust,pct_Range+RSI,2,0.32854556843609245,-4043.217179113093,,,3.0,
StandardHMM_robust_pct_Range+RSI_147,StandardHMM,robust,pct_Range+RSI,2,0.32854556843609245,-4043.217179113093,,,,
StandardHMM_none_Range+pct_Range+fg+RSI_84,StandardHMM,none,Range+pct_Range+fg+RSI,4,0.32727969833148635,-13575.5165990048,,,,
HierarchicalHMM_1factors_robust_Range+pct_Range+fg_371,HierarchicalHMM,robust,Range+pct_Range+fg,3,0.3266544522188275,-2121.8720563768534,,,,1.0
HierarchicalHMM_2factors_none_Range+pct_Range+fg+pct_fg+RSI_257,HierarchicalHMM,none,Range+pct_Range+fg+pct_fg+RSI,5,0.32648520686683763,-3972.8477998368494,,,,2.0
StandardHMM_none_Returns+pct_Range+fg+pct_fg_73,StandardHMM,none,Returns+pct_Range+fg+pct_fg,4,0.3261556657563702,-5592.068239422919,,,,
GMMHMM_none_Returns+pct_Range+fg+pct_fg_73,GMMHMM,none,Returns+pct_Range+fg+pct_fg,4,0.3251316456533446,-9833.789119955556,,,3.0,
GMMHMM_robust_Returns+Range+pct_Range+fg_190,GMMHMM,robust,Returns+Range+pct_Range+fg,4,0.3243252347968326,-9308.149046781007,,,3.0,
StandardHMM_robust_Returns+Range+pct_Range+fg_190,StandardHMM,robust,Returns+Range+pct_Range+fg,4,0.3243252347968326,-9308.149046781207,,,,
